(क),,
ऊ,झाड़,झाड़ू
औटी,कस,कसौटी
न,बेल,बेलन
ना,बेल,बेलना
नी,बेल,बेलनी
,,
भाववाचक कृत्-प्रत्यय,,
अ,भर,भार
अन्त,भिड़,भिड़न्त
आ,फेर,फेरा
आई,लड़,लड़ाई
आन,उठ,उठान
आप,मिल,मिलाप
आपा,पूज,पुजापा
आव,खिंच,खिंचाव
आवा,भूल,भुलावा
आस,निकस,निकास
आवना,पा,पावना
आवनी,पा,पावनी
आवट,सज,सजावट
आहट,चिल्ल,चिल्लाहट
ई,बोल,बोली
औता,समझ,समझौता
औती,मान,मनौती
औवल,भूल,भुलौवल
औनी,पीस,पिसौनी
क,बैठ,बैठक
की,बैठ,बैठकी
गी,देन,देनगी
त,खप,खपत
ती,चढ़,चढ़ती
न,दे,देन
नी,चाट,चटनी
,,
(v)क्रियाद्योतक कृत्-प्रत्यय,,
प्रत्यय,धातु,वर्तमानकालिक विशेषण
ता,बह,बहता
ता,मर,मरता
ता,गा,गाता
प्रत्यय,धातु,भूतकालिक विशेषण
आ,पढ़,पढ़ा
आ,धो,धोया
आ,गा,गाया
,,
हिंदी के तद्धित-प्रत्यय (Nominal suffixes),,
प्रत्यय,संज्ञा-विशेषण,कर्तृवाचक संज्ञाएँ
आर,सोना,सुनार
आर,लोहा,लुहार
ई,तमोल,तमोली
ई,तेल,तेली
हारा,लकड़ी,लकरहारा
एरा,साँप,सँपेरा
एरा,काँसा,कसेरा
,,
प्रत्यय,संज्ञा-विशेषण,भाववाचक संज्ञाएँ
आ,चूर,चूरा
आई,चतुर,चतुराई
आन,चौड़ा,चौड़ान
आयत,अपना,"अपनायत, अपनापन"
आरा,छूट,छुटकारा
आस,मीठा,मिठास
आहट,कड़वा,कड़वाहट
ई,खेत,खेती
एरा,अन्ध,अँधेरा
औती,बाप,बपौती
त,रंग,रंगत
पन,काला,कालापन
पन,लड़का,लड़कपन
पा,बूढा,बुढ़ापा
,,
प्रत्यय,संज्ञा-विशेषण,सम्बन्धवाचक संज्ञाएँ
आल,ससुर,ससुराल
हाल,नाना,ननिहाल
औती,बाप,बपौती
जा,भाई,भतीजा
एरा,मामा,ममेरा
एल,नाक,नकेल
,,
प्रत्यय,गणनावाचक संज्ञाएँ,
ला,पहला,
रा,"दूसरा, तीसरा",
था,चौथा,
वाँ,"सातवाँ, आठवाँ",
हरा,"दुहरा, तिहरा",
,,
प्रत्यय,संज्ञा-विशेषण,गुणवाचक संज्ञाएँ
आ,"ठंड, प्यास, भूख","ठंडा, प्यासा, भूखा"
इत,"पुष्प, आनंद, क्रोध","पुष्पित, आनंदित, क्रोधित"
ई,"क्रोध, जंगल, भार","क्रोधी, जंगली, भारी"
ईय,"भारत, अनुकरण, रमण","भारतीय, अनुकरणीय, रमणीय"
ईला,"चमक, भड़क, रंग","चमकीला, भड़कीला, रंगीला"
वान,"गुण, धन, रूप","गुणवान, धनवान, रूपवान"
,,
प्रत्यय,संज्ञा-विशेषण,स्थानवाचक संज्ञाएँ
ई,"जर्मन, गुजरात, बंगाल","जर्मनी, गुजराती, बंगाली"
वाला,"दिल्ली, बनारस, सूरत","दिल्लीवाला, बनारसवाला, सूरतवाला"
इया,"मुंबई, जयपुर, नागपुर","मुंबइया, जयपुरिया, नागपुरिया"
तिया,"कलकत्ता, तिरहुत","कलकतिया, तिरहुतिया"
,,
प्रत्यय,संज्ञा-विशेषण,ऊनवाचक संज्ञाएँ
आ,ठाकुर,ठकुरा
इया,खाट,खटिया
ई,ढोलक,ढोलकी
ओला,साँप,सँपोला
क,ढोल,ढोलक
की,कन,कनकी
टा,चोर,चोट्टा
टी,बहू,बहुटी
ड़ा,बाछा,बछड़ा
ड़ी,टाँग,टँगड़ी
री,कोठा,कोठरी
ली,टीका,टिकली
वा,बच्चा,बचवा
सा,मरा,मरा-सा
,,
प्रत्यय,संज्ञा-विशेषण,सादृश्यवाचक संज्ञाएँ
सा,"लाल, हरा","लाल-सा, हरा-सा"
हरा,सोना,सुनहरा
,,
प्रत्यय,संज्ञा,विशेषण
आ,भूख,भूखा
आना,हिन्दू,हिन्दुआना
आर,दूध,दुधार
आल,दया,दयाल
ई,देहात,देहाती
ऊ,बाजार,बाजारू
एरा,चाचा,चचेरा
एरा,मामा,ममेरा
हा,भूत,भुतहा
हरा,सोना,सुनहरा
,,
तद्धित प्रत्यय,संज्ञा,भाववाचक संज्ञा
ता,शत्रु,शत्रुता
ता,वीर,वीरता
त्व,गुरु,गुरुत्व
त्व,मनुष्य,मनुष्यत्व
अ,मुनि,मौन
य,पण्डित,पाण्डित्य
इमा,रक्त,रक्तिमा
,,
तद्धित-प्रत्यय,व्यक्तिवाचक संज्ञाएँ,अपत्यवाचक संज्ञाएँ
अ,वसुदेव,वासुदेव
अ,मनु,मानव
अ,कुरु,कौरव
अ,पृथा,पार्थ
अ,पाण्डु,पाण्डव
य,दिति,दैत्य
आयन,बदर,बादरायण
एय,राधा,राधेय
एय,कुन्ती,कौन्तेय
,,
तद्धित-प्रत्यय,विशेषण,भाववाचक संज्ञाएँ
ता,बुद्धिमान्,बुद्धिमत्ता
ता,मूर्ख,मूर्खता
ता,शिष्ट,शिष्टता
इमा,रक्त,रक्तिमा
इमा,शुक्ल,शुक्लिमा
त्व,वीर,वीरत्व
त्व,लघु,लघुत्व
अ,गुरु,गौरव
अ,लघु,लाघव
,,
प्रत्यय,संज्ञा,विशेषण
अ,निशा,नैश
य,तालु,तालव्य
य,ग्राम,ग्राम्य
इक,मुख,मौखिक
इक,लोक,लौकिक
मय,आनन्द,आनन्दमय
मय,दया,दयामय
इत,आनन्द,आनन्दित
इत,फल,फलित
इष्ठ,बल,बलिष्ठ
निष्ठ,कर्म,कर्मनिष्ठ
र,मुख,मुखर
र,मधु,मधुर
इम,रक्त,रक्तिम
ईन,कुल,कुलीन
ल,मांस,मांसल
वी,मेधा,मेधावी
इल,तन्द्रा,तन्द्रिल
लु,तन्द्रा,तन्द्रालु
,,
,,
शाली,,
दार,,
